,number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_initializer,params_lr,params_n_layers,params_neurons,params_optimizer,params_output_initializer,state
125,125,0.7449408054351807,2023-05-18 17:25:29.675277,2023-05-18 17:25:37.065025,0 days 00:00:07.389748,relu,1,0.00024542549124471387,3,512,2,1,COMPLETE
126,126,0.6652559638023376,2023-05-18 17:25:37.066031,2023-05-18 17:25:44.438858,0 days 00:00:07.372827,sigmoid,1,0.0001902162038584161,4,512,2,1,COMPLETE
127,127,0.6741628170013427,2023-05-18 17:25:44.439803,2023-05-18 17:25:51.327577,0 days 00:00:06.887774,sigmoid,1,0.0003282592357017708,4,512,3,1,COMPLETE
128,128,0.6656730771064758,2023-05-18 17:25:51.328523,2023-05-18 17:25:58.542270,0 days 00:00:07.213747,sigmoid,1,7.875806975459989e-05,3,512,2,1,COMPLETE
129,129,0.8056509256362915,2023-05-18 17:25:58.543190,2023-05-18 17:26:06.551157,0 days 00:00:08.007967,gelu,1,0.00026190293331291307,3,512,2,1,COMPLETE
130,130,0.7085184216499328,2023-05-18 17:26:06.552181,2023-05-18 17:26:14.365100,0 days 00:00:07.812919,elu,1,9.324965887370676e-05,3,512,2,1,COMPLETE
131,131,0.6652955770492553,2023-05-18 17:26:14.366173,2023-05-18 17:26:21.452398,0 days 00:00:07.086225,sigmoid,1,0.0001381535498718867,3,512,2,1,COMPLETE
132,132,0.6637224793434143,2023-05-18 17:26:21.453330,2023-05-18 17:26:28.019796,0 days 00:00:06.566466,sigmoid,1,0.00013100099684649198,2,512,2,1,COMPLETE
133,133,0.6635250449180603,2023-05-18 17:26:28.020874,2023-05-18 17:26:34.579819,0 days 00:00:06.558945,sigmoid,1,0.00016953957170250626,2,512,2,1,COMPLETE
134,134,0.6635961651802063,2023-05-18 17:26:34.580749,2023-05-18 17:26:41.422734,0 days 00:00:06.841985,sigmoid,1,0.00020239924301198613,3,512,2,1,COMPLETE
135,135,0.6638834238052368,2023-05-18 17:26:41.423739,2023-05-18 17:26:49.433278,0 days 00:00:08.009539,sigmoid,1,0.00011664157045199688,2,512,2,1,COMPLETE
136,136,0.6674345374107361,2023-05-18 17:26:49.434207,2023-05-18 17:26:56.509876,0 days 00:00:07.075669,sigmoid,1,0.0004240161197128619,2,512,2,1,COMPLETE
137,137,0.6633090376853943,2023-05-18 17:26:56.510826,2023-05-18 17:27:03.642832,0 days 00:00:07.132006,sigmoid,1,0.0001525446079170316,2,256,2,1,COMPLETE
138,138,0.6801165699958801,2023-05-18 17:27:03.643782,2023-05-18 17:27:12.756679,0 days 00:00:09.112897,sigmoid,1,0.0005375183893817297,8,512,2,1,COMPLETE
139,139,0.7269017457962036,2023-05-18 17:27:12.757614,2023-05-18 17:27:19.975447,0 days 00:00:07.217833,selu,0,0.0003250256231978781,3,512,1,1,COMPLETE
140,140,0.6658340811729431,2023-05-18 17:27:19.977497,2023-05-18 17:27:26.959125,0 days 00:00:06.981628,sigmoid,1,0.00022651296418662288,2,64,2,1,COMPLETE
141,141,0.6628684520721435,2023-05-18 17:27:26.960092,2023-05-18 17:27:33.630704,0 days 00:00:06.670612,sigmoid,1,0.00010419798274755534,2,512,2,1,COMPLETE
142,142,0.6626962304115296,2023-05-18 17:27:33.631634,2023-05-18 17:27:40.272066,0 days 00:00:06.640432,sigmoid,1,9.88142393392232e-05,2,512,2,1,COMPLETE
143,143,0.6637788653373718,2023-05-18 17:27:40.273116,2023-05-18 17:27:47.237683,0 days 00:00:06.964567,sigmoid,1,9.630690389777162e-05,2,512,2,1,COMPLETE
144,144,0.6632714986801147,2023-05-18 17:27:47.238606,2023-05-18 17:27:54.576267,0 days 00:00:07.337661,sigmoid,1,7.101201441063867e-05,2,512,2,1,COMPLETE
145,145,0.674198842048645,2023-05-18 17:27:54.577262,2023-05-18 17:28:03.272799,0 days 00:00:08.695537,sigmoid,1,5.100888430410081e-05,7,512,2,1,COMPLETE
146,146,0.6634535551071167,2023-05-18 17:28:03.274239,2023-05-18 17:28:09.834440,0 days 00:00:06.560201,sigmoid,1,0.00011315762988225309,2,512,2,1,COMPLETE
147,147,0.6652828574180603,2023-05-18 17:28:09.835389,2023-05-18 17:28:16.805527,0 days 00:00:06.970138,sigmoid,1,0.0001789301590067866,3,512,2,1,COMPLETE
148,148,0.6820687532424927,2023-05-18 17:28:16.806614,2023-05-18 17:28:23.738514,0 days 00:00:06.931900,tanh,1,9.208659783627095e-05,2,512,2,1,COMPLETE
149,149,0.6643301129341126,2023-05-18 17:28:23.739436,2023-05-18 17:28:31.153714,0 days 00:00:07.414278,sigmoid,1,7.995666755415387e-05,2,512,2,1,COMPLETE
150,150,0.6666035413742065,2023-05-18 17:28:31.154671,2023-05-18 17:28:38.738600,0 days 00:00:07.583929,sigmoid,1,0.00012276975835724801,3,512,2,1,COMPLETE
